#theta[rad] x[mm] y[mm]
2.070000 302.237857 -215.844986
2.080000 321.815363 -226.775376
2.090000 340.237099 -237.303489
2.100000 357.663436 -247.495244
2.110000 374.219722 -257.401659
2.120000 390.006119 -267.063093
2.130000 405.104151 -276.512057
2.140000 419.581221 -285.775147
2.150000 433.493802 -294.874405
2.160000 446.889769 -303.828308
2.170000 459.810122 -312.652502
2.180000 472.290291 -321.360342
2.190000 484.361136 -329.963324
2.200000 496.049735 -338.471406
2.210000 507.379998 -346.893267
2.220000 518.373160 -355.236512
2.230000 529.048186 -363.507839
2.240000 539.422091 -371.713171
2.250000 549.510211 -379.857766
2.260000 559.326426 -387.946310
2.270000 568.883345 -395.982991
2.280000 578.192463 -403.971564
2.290000 587.264293 -411.915402
2.300000 596.108480 -419.817546
2.310000 604.733899 -427.680740
2.320000 613.148736 -435.507464
2.330000 621.360560 -443.299967
2.340000 629.376390 -451.060288
2.350000 637.202745 -458.790278
