#theta[rad] x[mm] y[mm]
0.100000 0.000000 -400.000000
0.100000 4.413065 -356.016551
0.110000 7.693978 -326.310465
0.120000 9.901573 -308.002229
0.130000 11.516016 -295.653473
0.140000 12.908882 -285.769515
0.150000 14.185481 -277.322786
0.160000 15.333919 -270.206403
0.170000 16.392021 -264.042349
0.180000 17.395173 -258.529598
0.190000 18.362662 -253.498973
0.200000 19.306240 -248.844158
0.210000 20.233618 -244.493181
0.220000 21.150132 -240.394635
0.230000 22.056902 -236.521923
0.240000 22.948670 -232.877840
0.250000 23.829115 -229.429740
0.260000 24.701574 -226.150083
0.270000 25.568591 -223.017323
0.280000 26.432144 -220.014227
0.290000 27.293801 -217.126759
0.300000 28.154824 -214.343306
0.310000 29.016242 -211.654129
0.320000 29.878901 -209.050971
0.330000 30.743508 -206.526754
0.340000 31.610656 -204.075360
0.350000 32.480849 -201.691457
0.360000 33.354513 -199.370368
0.370000 34.232019 -197.107958
0.380000 35.115034 -194.897174
0.390000 36.005197 -192.731617
0.400000 36.902587 -190.609090
0.410000 37.807260 -188.527618
0.420000 38.719264 -186.485387
0.430000 39.638643 -184.480728
0.440000 40.565434 -182.512102
0.450000 41.499670 -180.578085
0.460000 42.441383 -178.677359
0.470000 43.390600 -176.808696
0.480000 44.347347 -174.970956
0.490000 45.311649 -173.163075
0.500000 46.283530 -171.384059
0.510000 47.263014 -169.632976
0.520000 48.250123 -167.908955
0.530000 49.244881 -166.211175
0.540000 50.247312 -164.538866
0.550000 51.257441 -162.891303
0.560000 52.275294 -161.267802
0.570000 53.300898 -159.667718
0.580000 54.334282 -158.090439
0.590000 55.375474 -156.535389
0.600000 56.424508 -155.002020
0.610000 57.481417 -153.489815
0.620000 58.546237 -151.998281
0.630000 59.619005 -150.526950
0.640000 60.699763 -149.075380
0.650000 61.788552 -147.643148
0.660000 62.886639 -146.228279
0.670000 63.995476 -144.828681
0.680000 65.115049 -143.444205
0.690000 66.245316 -142.074741
0.700000 67.386243 -140.720185
0.710000 68.537797 -139.380435
0.720000 69.699950 -138.055391
0.730000 70.872676 -136.744962
0.740000 72.055955 -135.449056
0.750000 73.249767 -134.167586
0.760000 74.454099 -132.900471
0.770000 75.668939 -131.647630
0.780000 76.894280 -130.408988
0.790000 78.130117 -129.184473
0.800000 79.376450 -127.974017
0.810000 80.633279 -126.777555
0.820000 81.900612 -125.595025
0.830000 83.178457 -124.426371
0.840000 84.466826 -123.271539
0.850000 85.765733 -122.130477
0.860000 87.075198 -121.003140
0.870000 88.395241 -119.889485
0.880000 89.725888 -118.789472
0.890000 91.067165 -117.703065
0.900000 92.419103 -116.630233
0.910000 93.781736 -115.570947
0.920000 95.155100 -114.525183
0.930000 96.539234 -113.492921
0.940000 97.934180 -112.474142
0.950000 99.339984 -111.468835
0.960000 100.756694 -110.476990
0.970000 102.184360 -109.498601
0.980000 103.623036 -108.533667
0.990000 105.072778 -107.582191
1.000000 106.533645 -106.644179
1.010000 108.005699 -105.719642
1.020000 109.489005 -104.808593
1.030000 110.983630 -103.911052
1.040000 112.489643 -103.027041
1.050000 114.007119 -102.156588
1.060000 115.536132 -101.299722
1.070000 117.076760 -100.456479
1.080000 118.629085 -99.626899
1.090000 120.193191 -98.811024
1.100000 121.769164 -98.008904
1.110000 123.357095 -97.220590
1.120000 124.957075 -96.446140
1.130000 126.569200 -95.685614
1.140000 128.193569 -94.939078
1.150000 129.830599 -94.206461
1.160000 131.483836 -93.486347
1.170000 133.154171 -92.778572
1.180000 134.842034 -92.083196
1.190000 136.547873 -91.400287
1.200000 138.272162 -90.729918
1.210000 140.015396 -90.072175
1.220000 141.778099 -89.427147
1.230000 143.560821 -88.794935
1.240000 145.364143 -88.175647
1.250000 147.188678 -87.569403
1.260000 149.035074 -86.976329
1.270000 150.904020 -86.396566
1.280000 152.796242 -85.830261
1.290000 154.712513 -85.277576
1.300000 156.653658 -84.738684
1.310000 158.620550 -84.213771
1.320000 160.614125 -83.703037
1.330000 162.635381 -83.206695
1.340000 164.685389 -82.724977
1.350000 166.765296 -82.258130
1.360000 168.876335 -81.806420
1.370000 171.019837 -81.370133
1.380000 173.197238 -80.949578
1.390000 175.410092 -80.545085
1.400000 177.660085 -80.157014
1.410000 179.949056 -79.785750
1.420000 182.279007 -79.431715
1.430000 184.652707 -79.095280
1.440000 187.079225 -78.776078
1.450000 189.563485 -78.474521
1.460000 192.109799 -78.191238
1.470000 194.723062 -77.926935
1.480000 197.408872 -77.682401
1.490000 200.173674 -77.458528
1.500000 203.024954 -77.256330
1.510000 205.971492 -77.076970
1.520000 209.023688 -76.921796
1.530000 212.194021 -76.792387
1.540000 215.497672 -76.690614
1.550000 218.953422 -76.618737
1.560000 222.584967 -76.579528
1.570000 226.422923 -76.576472
1.580000 230.489389 -76.613899
1.590000 234.782181 -76.696347
1.600000 239.341473 -76.829533
1.610000 244.225541 -77.021104
1.620000 249.517639 -77.281705
1.630000 255.344145 -77.627059
1.640000 261.914234 -78.082461
1.650000 269.609411 -78.693225
1.660000 278.633642 -79.500361
1.670000 289.352798 -80.567243
1.680000 303.407463 -82.108195
1.690000 325.363101 -84.737854
1.700000 362.367763 -89.545776
1.710000 405.390662 -95.573708
1.720000 444.289804 -101.421058
1.730000 480.039964 -107.161193
1.740000 513.281558 -112.840092
1.750000 544.461878 -118.488312
1.760000 573.907830 -124.127041
1.770000 601.866857 -129.771440
1.780000 628.531554 -135.432624
1.790000 654.055274 -141.118886
1.800000 678.562456 -146.836498
1.810000 702.155699 -152.590250
1.820000 724.920765 -158.383819
1.830000 746.930185 -164.220036
1.840000 768.245947 -170.101076
1.850000 788.921507 -176.028601
1.860000 809.003339 -182.003865
1.870000 828.532141 -188.027796
1.880000 847.543783 -194.101059
1.890000 866.070069 -200.224105
1.900000 884.139345 -206.397209
1.910000 901.777000 -212.620499
1.920000 919.005877 -218.893987
1.930000 935.846611 -225.217581
1.940000 952.317912 -231.591107
1.950000 968.436807 -238.014319
1.960000 984.218839 -244.486915
1.970000 999.678241 -251.008539
1.980000 1014.828082 -257.578794
1.990000 1029.680393 -264.197248
2.000000 1044.246280 -270.863436
2.010000 1058.536014 -277.576868
2.020000 1072.559119 -284.337033
2.030000 1086.324443 -291.143399
2.040000 1099.840221 -297.995418
2.050000 1113.114130 -304.892530
2.060000 1126.153346 -311.834160
2.070000 1138.964578 -318.819728
2.080000 1151.554117 -325.848640
2.090000 1163.927865 -332.920298
2.100000 1176.091372 -340.034098
2.110000 1188.049857 -347.189430
2.120000 1199.808243 -354.385681
2.130000 1211.371171 -361.622232
2.140000 1222.743028 -368.898465
2.150000 1233.927962 -376.213757
2.160000 1244.929899 -383.567484
2.170000 1255.752562 -390.959021
2.180000 1266.399483 -398.387742
2.190000 1276.874014 -405.853020
2.200000 1287.179346 -413.354227
2.210000 1297.318510 -420.890736
2.220000 1307.294396 -428.461921
2.230000 1317.109756 -436.067154
2.240000 1326.767219 -443.705809
2.250000 1336.269290 -451.377260
2.260000 1345.618366 -459.080883
2.270000 1354.816738 -466.816051
2.280000 1363.866598 -474.582143
2.290000 1372.770045 -482.378536
2.300000 1381.529092 -490.204607
2.310000 1390.145666 -498.059738
2.320000 1398.621620 -505.943308
2.330000 1406.958730 -513.854700
2.340000 1415.158706 -521.793297
2.350000 1423.223189 -529.758484
