#theta[rad] x[mm] y[mm]
0.000000 0.000000 -400.000000
0.000000 0.000000 -355.836604
0.010000 0.297355 -326.102062
0.020000 0.662814 -307.831571
0.030000 1.033385 -295.482906
0.040000 1.429476 -285.585913
0.050000 1.852685 -277.128779
0.060000 2.279224 -270.028333
0.070000 2.711131 -263.868314
0.080000 3.153290 -258.353129
0.090000 3.607858 -253.316009
0.100000 4.075830 -248.651902
0.110000 4.557631 -244.289578
0.120000 5.053389 -240.178105
0.130000 5.559779 -236.304769
0.140000 6.073408 -232.659987
0.150000 6.594990 -229.208894
0.160000 7.125035 -225.924431
0.170000 7.663871 -222.785400
0.180000 8.211703 -219.774830
0.190000 8.768651 -216.878885
0.200000 9.334775 -214.086109
0.210000 9.910092 -211.386893
0.220000 10.494590 -208.773084
0.230000 11.088235 -206.237694
0.240000 11.690976 -203.774679
0.250000 12.302751 -201.378772
0.260000 12.923580 -199.045020
0.270000 13.554851 -196.764072
0.280000 14.197077 -194.530663
0.290000 14.850071 -192.342440
0.300000 15.513653 -190.197259
0.310000 16.187654 -188.093159
0.320000 16.871913 -186.028342
0.330000 17.566275 -184.001153
0.340000 18.270595 -182.010069
0.350000 18.984733 -180.053680
0.360000 19.708556 -178.130679
0.370000 20.441937 -176.239854
0.380000 21.184756 -174.380077
0.390000 21.936897 -172.550295
0.400000 22.698249 -170.749527
0.410000 23.468709 -168.976852
0.420000 24.248176 -167.231409
0.430000 25.036555 -165.512388
0.440000 25.833755 -163.819030
0.450000 26.639690 -162.150618
0.460000 27.454277 -160.506478
0.470000 28.277440 -158.885971
0.480000 29.109119 -157.288465
0.490000 29.950952 -155.710190
0.500000 30.804415 -154.147936
0.510000 31.669389 -152.601568
0.520000 32.545761 -151.070953
0.530000 33.433420 -149.555961
0.540000 34.332261 -148.056469
0.550000 35.242179 -146.572354
0.560000 36.163077 -145.103499
0.570000 37.094860 -143.649789
0.580000 38.037434 -142.211114
0.590000 38.990714 -140.787364
0.600000 39.954614 -139.378436
0.610000 40.929053 -137.984226
0.620000 41.913954 -136.604637
0.630000 42.909244 -135.239571
0.640000 43.914851 -133.888936
0.650000 44.930709 -132.552640
0.660000 45.956755 -131.230595
0.670000 46.992927 -129.922716
0.680000 48.039170 -128.628920
0.690000 49.095430 -127.349127
0.700000 50.161656 -126.083258
0.710000 51.237802 -124.831240
0.720000 52.323824 -123.592998
0.730000 53.419681 -122.368464
0.740000 54.525337 -121.157568
0.750000 55.640758 -119.960246
0.760000 56.765912 -118.776436
0.770000 57.900772 -117.606077
0.780000 59.045313 -116.449112
0.790000 60.199514 -115.305485
0.800000 61.363356 -114.175145
0.810000 62.536824 -113.058041
0.820000 63.719904 -111.954127
0.830000 64.912587 -110.863357
0.840000 66.114867 -109.785691
0.850000 67.326739 -108.721088
0.860000 68.548201 -107.669514
0.870000 69.779256 -106.630933
0.880000 71.019907 -105.605317
0.890000 72.270162 -104.592637
0.900000 73.530029 -103.592868
0.910000 74.799520 -102.605989
0.920000 76.078649 -101.631981
0.930000 77.367434 -100.670828
0.940000 78.665892 -99.722518
0.950000 79.974046 -98.787042
0.960000 81.291919 -97.864392
0.970000 82.619537 -96.954567
0.980000 83.956928 -96.057567
0.990000 85.304121 -95.173394
1.000000 86.661148 -94.302057
1.010000 88.028044 -93.443565
1.020000 89.404843 -92.597933
1.030000 90.791585 -91.765177
1.040000 92.188308 -90.945319
1.050000 93.595054 -90.138382
1.060000 95.011865 -89.344394
1.070000 96.438787 -88.563387
1.080000 97.875865 -87.795396
1.090000 99.323148 -87.040459
1.100000 100.780685 -86.298619
1.110000 102.248527 -85.569922
1.120000 103.726728 -84.854418
1.130000 105.215341 -84.152159
1.140000 106.714421 -83.463204
1.150000 108.224027 -82.787613
1.160000 109.744217 -82.125451
1.170000 111.275051 -81.476787
1.180000 112.816592 -80.841694
1.190000 114.368901 -80.220248
1.200000 115.932046 -79.612530
1.210000 117.506090 -79.018623
1.220000 119.091104 -78.438617
1.230000 120.687157 -77.872604
1.240000 122.294319 -77.320681
1.250000 123.912665 -76.782947
1.260000 125.542269 -76.259509
1.270000 127.183207 -75.750475
1.280000 128.835560 -75.255959
1.290000 130.499407 -74.776078
1.300000 132.174831 -74.310954
1.310000 133.861918 -73.860713
1.320000 135.560755 -73.425488
1.330000 137.271430 -73.005413
1.340000 138.994038 -72.600628
1.350000 140.728671 -72.211280
1.360000 142.475429 -71.837517
1.370000 144.236112 -71.479149
1.380000 146.016036 -71.135364
1.390000 147.816113 -70.806324
1.400000 149.636924 -70.492277
1.410000 151.479083 -70.193485
1.420000 153.343243 -69.910226
1.430000 155.230097 -69.642794
1.440000 157.140383 -69.391501
1.450000 159.074886 -69.156677
1.460000 161.034444 -68.938673
1.470000 163.019954 -68.737860
1.480000 165.032373 -68.554636
1.490000 167.072731 -68.389423
1.500000 169.142135 -68.242671
1.510000 171.241776 -68.114863
1.520000 173.372941 -68.006515
1.530000 175.537020 -67.918179
1.540000 177.735524 -67.850452
1.550000 179.970095 -67.803974
1.560000 182.242522 -67.779440
1.570000 184.554766 -67.777598
1.580000 186.908974 -67.799266
1.590000 189.308239 -67.845347
1.600000 191.763014 -67.917056
1.610000 194.278421 -68.015719
1.620000 196.859313 -68.142811
1.630000 199.511252 -68.299999
1.640000 202.240665 -68.489187
1.650000 205.055033 -68.712563
1.660000 207.963161 -68.972669
1.670000 210.975515 -69.272489
1.680000 214.104701 -69.615573
1.690000 217.366126 -70.006199
1.700000 220.778948 -70.449618
1.710000 224.367485 -70.952407
1.720000 228.163388 -71.523010
1.730000 232.187975 -72.169208
1.740000 236.440480 -72.895694
1.750000 240.963503 -73.715026
1.760000 245.819050 -74.644835
1.770000 251.097139 -75.710381
1.780000 256.937467 -76.950342
1.790000 263.579001 -78.429966
1.800000 271.442999 -80.264664
1.810000 280.614612 -82.501372
1.820000 291.737393 -85.332051
1.830000 307.233484 -89.441134
1.840000 331.697064 -96.190661
1.850000 373.999079 -108.318325
1.860000 414.075828 -120.242991
1.870000 450.485494 -131.474060
1.880000 484.048144 -142.195638
1.890000 515.314214 -152.529258
1.900000 544.674372 -162.559725
1.910000 572.417750 -172.348731
1.920000 598.765435 -181.942617
1.930000 623.890959 -191.377100
1.940000 647.933486 -200.680291
1.950000 671.006634 -209.874702
1.960000 693.204585 -218.978622
1.970000 714.606435 -228.007096
1.980000 735.279365 -236.972631
1.990000 755.281006 -245.885718
2.000000 774.661233 -254.755225
2.010000 793.463544 -263.588702
2.020000 811.726142 -272.392613
2.030000 829.482794 -281.172520
2.040000 846.763511 -289.933231
2.050000 863.595110 -298.678914
2.060000 880.001665 -307.413201
2.070000 896.004881 -316.139258
2.080000 911.624407 -324.859853
2.090000 926.878095 -333.577412
2.100000 941.782223 -342.294058
2.110000 956.351676 -351.011657
2.120000 970.600111 -359.731842
2.130000 984.540088 -368.456048
2.140000 998.183193 -377.185529
2.150000 1011.540135 -385.921382
2.160000 1024.620839 -394.664563
2.170000 1037.434519 -403.415902
2.180000 1049.989752 -412.176116
2.190000 1062.294529 -420.945824
2.200000 1074.356320 -429.725550
2.210000 1086.182108 -438.515739
2.220000 1097.778442 -447.316761
2.230000 1109.151465 -456.128917
2.240000 1120.306954 -464.952450
2.250000 1131.250347 -473.787545
2.260000 1141.986769 -482.634337
2.270000 1152.521058 -491.492916
2.280000 1162.857786 -500.363327
2.290000 1173.001280 -509.245579
2.300000 1182.955638 -518.139643
2.310000 1192.724747 -527.045459
2.320000 1202.312296 -535.962936
2.330000 1211.721793 -544.891955
2.340000 1220.956573 -553.832371
2.350000 1230.019813 -562.784016
