#theta[rad] x[mm] y[mm]
1.840000 119.996531 -146.374951
1.850000 121.057802 -146.679209
1.860000 122.123575 -146.996325
1.870000 123.193934 -147.326493
1.880000 124.268967 -147.669912
1.890000 125.348768 -148.026792
1.900000 126.433436 -148.397353
1.910000 127.523077 -148.781823
1.920000 128.617802 -149.180441
1.930000 129.717730 -149.593458
1.940000 130.822986 -150.021134
1.950000 131.933739 -150.463757
1.960000 133.051261 -150.922080
1.970000 134.176598 -151.396809
1.980000 135.310038 -151.888365
1.990000 136.451889 -152.397194
2.000000 137.602483 -152.923772
2.010000 138.762176 -153.468605
2.020000 139.931353 -154.032234
2.030000 141.110429 -154.615237
2.040000 142.299852 -155.218232
2.050000 143.500108 -155.841884
2.060000 144.711724 -156.486907
2.070000 145.935274 -157.154071
2.080000 147.171384 -157.844208
2.090000 148.420737 -158.558219
2.100000 149.684082 -159.297084
2.110000 150.962243 -160.061868
2.120000 152.256127 -160.853738
2.130000 153.566736 -161.673971
2.140000 154.895185 -162.523973
2.150000 156.242714 -163.405299
2.160000 157.610710 -164.319671
2.170000 159.000733 -165.269013
2.180000 160.414543 -166.255477
2.190000 161.854140 -167.281488
2.200000 163.321809 -168.349799
2.210000 164.820179 -169.463547
2.220000 166.352294 -170.626343
2.230000 167.921437 -171.842163
2.240000 169.524009 -173.109731
2.250000 171.158080 -174.428990
2.260000 172.826719 -175.803945
2.270000 174.533501 -177.239226
2.280000 176.282627 -178.740230
2.290000 178.079086 -180.313317
2.300000 179.928867 -181.966068
2.310000 181.839268 -183.707647
2.320000 183.819314 -185.549309
2.330000 185.880387 -187.505136
2.340000 188.037160 -189.593161
2.350000 190.309098 -191.837125
