#theta[rad] x[mm] y[mm]
0.000000 0.000000 -400.000000
0.000000 0.000000 -377.948583
0.010000 0.227649 -355.184434
0.020000 0.562540 -338.442101
0.030000 0.939721 -325.873198
0.040000 1.354211 -315.516457
0.050000 1.750034 -307.606608
0.060000 2.143799 -301.051726
0.070000 2.544949 -295.330379
0.080000 2.957131 -290.189101
0.090000 3.381926 -285.481904
0.100000 3.820018 -281.115596
0.110000 4.266205 -277.075731
0.120000 4.709121 -273.402496
0.130000 5.151596 -270.018032
0.140000 5.596020 -266.864348
0.150000 6.043926 -263.900735
0.160000 6.496340 -261.097317
0.170000 6.953962 -258.431407
0.180000 7.417276 -255.885295
0.190000 7.886623 -253.444846
0.200000 8.362238 -251.098567
0.210000 8.844281 -248.836962
0.220000 9.332863 -246.652083
0.230000 9.828050 -244.537196
0.240000 10.329880 -242.486538
0.250000 10.838369 -240.495135
0.260000 11.352840 -238.561190
0.270000 11.870564 -236.690516
0.280000 12.391579 -234.878632
0.290000 12.916120 -233.120863
0.300000 13.444376 -231.413155
0.310000 13.976501 -229.751963
0.320000 14.512620 -228.134172
0.330000 15.052833 -226.557023
0.340000 15.597221 -225.018061
0.350000 16.145848 -223.515090
0.360000 16.698766 -222.046137
0.370000 17.256015 -220.609422
0.380000 17.817625 -219.203331
0.390000 18.383620 -217.826399
0.400000 18.954015 -216.477288
0.410000 19.528820 -215.154775
0.420000 20.108042 -213.857735
0.430000 20.691682 -212.585138
0.440000 21.279739 -211.336029
0.450000 21.872206 -210.109528
0.460000 22.469078 -208.904818
0.470000 23.070345 -207.721143
0.480000 23.675995 -206.557797
0.490000 24.286017 -205.414124
0.500000 24.900397 -204.289509
0.510000 25.519119 -203.183381
0.520000 26.142169 -202.095203
0.530000 26.769529 -201.024470
0.540000 27.401184 -199.970710
0.550000 28.037116 -198.933479
0.560000 28.677311 -197.912352
0.570000 29.322232 -196.906185
0.580000 29.972296 -195.913977
0.590000 30.627456 -194.935476
0.600000 31.287670 -193.970445
0.610000 31.952894 -193.018655
0.620000 32.623087 -192.079889
0.630000 33.298210 -191.153940
0.640000 33.978223 -190.240612
0.650000 34.663088 -189.339716
0.660000 35.352769 -188.451073
0.670000 36.047229 -187.574510
0.680000 36.746435 -186.709863
0.690000 37.450354 -185.856977
0.700000 38.158951 -185.015700
0.710000 38.872197 -184.185890
0.720000 39.590060 -183.367409
0.730000 40.312512 -182.560126
0.740000 41.039523 -181.763916
0.750000 41.771066 -180.978658
0.760000 42.507115 -180.204238
0.770000 43.247644 -179.440545
0.780000 43.992628 -178.687474
0.790000 44.742043 -177.944925
0.800000 45.495866 -177.212801
0.810000 46.254076 -176.491009
0.820000 47.016651 -175.779461
0.830000 47.783571 -175.078074
0.840000 48.554817 -174.386766
0.850000 49.330369 -173.705461
0.860000 50.110211 -173.034084
0.870000 50.894325 -172.372566
0.880000 51.682695 -171.720839
0.890000 52.475306 -171.078841
0.900000 53.272144 -170.446509
0.910000 54.073195 -169.823787
0.920000 54.878446 -169.210619
0.930000 55.687886 -168.606953
0.940000 56.501503 -168.012739
0.950000 57.319288 -167.427932
0.960000 58.141231 -166.852486
0.970000 58.967322 -166.286360
0.980000 59.797555 -165.729515
0.990000 60.631923 -165.181913
1.000000 61.470419 -164.643521
1.010000 62.313037 -164.114307
1.020000 63.159774 -163.594240
1.030000 64.010626 -163.083293
1.040000 64.865589 -162.581440
1.050000 65.724662 -162.088659
1.060000 66.587844 -161.604928
1.070000 67.455133 -161.130228
1.080000 68.326532 -160.664543
1.090000 69.202040 -160.207857
1.100000 70.081661 -159.760158
1.110000 70.965397 -159.321435
1.120000 71.853252 -158.891680
1.130000 72.745232 -158.470886
1.140000 73.641341 -158.059047
1.150000 74.541587 -157.656162
1.160000 75.445976 -157.262229
1.170000 76.354519 -156.877251
1.180000 77.267223 -156.501229
1.190000 78.184100 -156.134170
1.200000 79.105161 -155.776080
1.210000 80.030418 -155.426969
1.220000 80.959885 -155.086848
1.230000 81.893577 -154.755731
1.240000 82.831508 -154.433631
1.250000 83.773696 -154.120567
1.260000 84.720159 -153.816558
1.270000 85.670914 -153.521625
1.280000 86.625984 -153.235791
1.290000 87.585388 -152.959083
1.300000 88.549150 -152.691528
1.310000 89.517293 -152.433155
1.320000 90.489842 -152.183997
1.330000 91.466825 -151.944089
1.340000 92.448268 -151.713466
1.350000 93.434202 -151.492167
1.360000 94.424657 -151.280234
1.370000 95.419666 -151.077711
1.380000 96.419263 -150.884643
1.390000 97.423483 -150.701080
1.400000 98.432364 -150.527071
1.410000 99.445945 -150.362672
1.420000 100.464268 -150.207938
1.430000 101.487375 -150.062928
1.440000 102.515312 -149.927706
1.450000 103.548125 -149.802336
1.460000 104.585865 -149.686885
1.470000 105.628583 -149.581426
1.480000 106.676332 -149.486031
1.490000 107.729170 -149.400780
1.500000 108.787157 -149.325753
1.510000 109.850353 -149.261035
1.520000 110.918825 -149.206714
1.530000 111.992639 -149.162882
1.540000 113.071868 -149.129635
1.550000 114.156586 -149.107074
1.560000 115.246870 -149.095302
1.570000 116.342804 -149.094430
1.580000 117.444472 -149.104569
1.590000 118.551965 -149.125840
1.600000 119.665377 -149.158365
1.610000 120.784807 -149.202273
1.620000 121.910360 -149.257699
1.630000 123.042143 -149.324783
1.640000 124.180272 -149.403672
1.650000 125.324867 -149.494518
1.660000 126.476055 -149.597482
1.670000 127.633970 -149.712729
1.680000 128.798751 -149.840436
1.690000 129.970547 -149.980784
1.700000 131.149513 -150.133964
1.710000 132.335897 -150.300188
1.720000 133.531115 -150.479854
1.730000 134.735917 -150.673300
1.740000 135.950617 -150.880816
1.750000 137.175548 -151.102708
1.760000 138.411067 -151.339303
1.770000 139.657552 -151.590945
1.780000 140.915412 -151.858001
1.790000 142.185081 -152.140862
1.800000 143.467027 -152.439945
1.810000 144.761753 -152.755693
1.820000 146.069800 -153.088583
1.830000 147.391752 -153.439124
1.840000 148.728239 -153.807862
1.850000 150.079947 -154.195386
1.860000 151.447617 -154.602331
1.870000 152.832056 -155.029380
1.880000 154.234147 -155.477278
1.890000 155.654853 -155.946829
1.900000 157.095231 -156.438914
1.910000 158.556447 -156.954491
1.920000 160.039786 -157.494613
1.930000 161.546673 -158.060440
1.940000 163.078694 -158.653252
1.950000 164.637621 -159.274468
1.960000 166.225446 -159.925674
