#theta[rad] x[mm] y[mm]
1.970000 167.844414 -160.608643
1.980000 169.497076 -161.325377
1.990000 171.186343 -162.078145
2.000000 172.915568 -162.869538
2.010000 174.688634 -163.702539
2.020000 176.506691 -164.578976
2.030000 178.363863 -165.497268
2.040000 180.262895 -166.460009
2.050000 182.207755 -167.470557
2.060000 184.203067 -168.532793
2.070000 186.254264 -169.651247
2.080000 188.367800 -170.831263
2.090000 190.551440 -172.079224
2.100000 192.814650 -173.402857
2.110000 195.169169 -174.811678
2.120000 197.629841 -176.317635
2.130000 200.215885 -177.936086
2.140000 202.952923 -179.687368
2.150000 205.876403 -181.599414
2.160000 209.037791 -183.712495
2.170000 212.488871 -186.069474
2.180000 216.165959 -188.635104
2.190000 220.112602 -191.447906
2.200000 224.410011 -194.575972
2.210000 229.189270 -198.128427
2.220000 234.688449 -202.302022
2.230000 241.438085 -207.531840
2.240000 250.029706 -214.327458
2.250000 260.504578 -222.784296
2.260000 275.078239 -234.792966
2.270000 292.671119 -249.587312
2.280000 309.129938 -263.711365
2.290000 324.618871 -277.274404
2.300000 339.264449 -290.360000
2.310000 353.166653 -303.033671
2.320000 366.406130 -315.347843
2.330000 379.049064 -327.345190
2.340000 391.150575 -339.060958
2.350000 402.757151 -350.524624
