#theta[rad] x[mm] y[mm]
-0.100000 0.000000 -400.000000
-0.100000 -4.413065 -356.016551
-0.090000 -7.097837 -326.266332
-0.080000 -8.567815 -307.930824
-0.070000 -9.436060 -295.547591
-0.060000 -10.032245 -285.623112
-0.050000 -10.456928 -277.136516
-0.040000 -10.742603 -269.998453
-0.030000 -10.928429 -263.806106
-0.020000 -11.039351 -258.260764
-0.010000 -11.090017 -253.194353
-0.000000 -11.090017 -248.501199
0.010000 -11.046101 -244.109746
0.020000 -10.963273 -239.968889
0.030000 -10.846164 -236.066446
0.040000 -10.699147 -232.392980
0.050000 -10.525022 -228.913386
0.060000 -10.326009 -225.600473
0.070000 -10.103920 -222.432956
0.080000 -9.860268 -219.393808
0.090000 -9.596337 -216.469161
0.100000 -9.313230 -213.647538
0.110000 -9.011910 -210.919319
0.120000 -8.693222 -208.276348
0.130000 -8.357918 -205.711636
0.140000 -8.006672 -203.219145
0.150000 -7.640089 -200.793615
0.160000 -7.258471 -198.428892
0.170000 -6.861211 -196.114626
0.180000 -6.448689 -193.847638
0.190000 -6.021347 -191.625599
0.200000 -5.579598 -189.446387
0.210000 -5.123831 -187.308062
0.220000 -4.654406 -185.208848
0.230000 -4.171663 -183.147110
0.240000 -3.675925 -181.121345
0.250000 -3.167492 -179.130161
0.260000 -2.646651 -177.172271
0.270000 -2.113673 -175.246480
0.280000 -1.568814 -173.351676
0.290000 -1.012319 -171.486826
0.300000 -0.444419 -169.650962
0.310000 0.134663 -167.843181
0.320000 0.724716 -166.062637
0.330000 1.325540 -164.308535
0.340000 1.936940 -162.580130
0.350000 2.558734 -160.876718
0.360000 3.190971 -159.197036
0.370000 3.835886 -157.534297
0.380000 4.493651 -155.887468
0.390000 5.164100 -154.256424
0.400000 5.847071 -152.641045
0.410000 6.542407 -151.041215
0.420000 7.249953 -149.456822
0.430000 7.969560 -147.887755
0.440000 8.701081 -146.333908
0.450000 9.444373 -144.795177
0.460000 10.199297 -143.271460
0.470000 10.965715 -141.762661
0.480000 11.743497 -140.268682
0.490000 12.532512 -138.789430
0.500000 13.332635 -137.324815
0.510000 14.143744 -135.874747
0.520000 14.965718 -134.439139
0.530000 15.798441 -133.017908
0.540000 16.641802 -131.610969
0.550000 17.495690 -130.218243
0.560000 18.359998 -128.839650
0.570000 19.234623 -127.475113
0.580000 20.119466 -126.124555
0.590000 21.014428 -124.787904
0.600000 21.919417 -123.465086
0.610000 22.834340 -122.156031
0.620000 23.759111 -120.860669
0.630000 24.693643 -119.578933
0.640000 25.637857 -118.310755
0.650000 26.591673 -117.056072
0.660000 27.556018 -115.813528
0.670000 28.531937 -114.581702
0.680000 29.519349 -113.360656
0.690000 30.518161 -112.150469
0.700000 31.528277 -110.951217
0.710000 32.549603 -109.762977
0.720000 33.582046 -108.585824
0.730000 34.625512 -107.419833
0.740000 35.679908 -106.265076
0.750000 36.745142 -105.121626
0.760000 37.821121 -103.989554
0.770000 38.907754 -102.868932
0.780000 40.004948 -101.759827
0.790000 41.112613 -100.662310
0.800000 42.230659 -99.576448
0.810000 43.358994 -98.502308
0.820000 44.497529 -97.439958
0.830000 45.646175 -96.389464
0.840000 46.804842 -95.350889
0.850000 47.973441 -94.324301
0.860000 49.151885 -93.309762
0.870000 50.340085 -92.307336
0.880000 51.537952 -91.317088
0.890000 52.745401 -90.339080
0.900000 53.962343 -89.373374
0.910000 55.188691 -88.420034
0.920000 56.424358 -87.479121
0.930000 57.669257 -86.550696
0.940000 58.923303 -85.634823
0.950000 60.186407 -84.731562
0.960000 61.458483 -83.840976
0.970000 62.739445 -82.963124
0.980000 64.029206 -82.098069
0.990000 65.327678 -81.245873
1.000000 66.634774 -80.406596
1.010000 67.950408 -79.580300
1.020000 69.274490 -78.767046
1.030000 70.606934 -77.966897
1.040000 71.947650 -77.179914
1.050000 73.296549 -76.406159
1.060000 74.653543 -75.645693
1.070000 76.018540 -74.898580
1.080000 77.391451 -74.164881
1.090000 78.772184 -73.444658
1.100000 80.160646 -72.737975
1.110000 81.556746 -72.044894
1.120000 82.960389 -71.365478
1.130000 84.371481 -70.699790
1.140000 85.789928 -70.047893
1.150000 87.215632 -69.409850
1.160000 88.648496 -68.785726
1.170000 90.088424 -68.175582
1.180000 91.535315 -67.579483
1.190000 92.989069 -66.997492
1.200000 94.449586 -66.429673
1.210000 95.916763 -65.876089
1.220000 97.390496 -65.336804
1.230000 98.870682 -64.811881
1.240000 100.357216 -64.301384
1.250000 101.850092 -63.805340
1.260000 103.351340 -63.323131
1.270000 104.862143 -62.854466
1.280000 106.382536 -62.399443
1.290000 107.912555 -61.958160
1.300000 109.452236 -61.530720
1.310000 111.001616 -61.117230
1.320000 112.560731 -60.717800
1.330000 114.129618 -60.332543
1.340000 115.708316 -59.961575
1.350000 117.296862 -59.605017
1.360000 118.895296 -59.262992
1.370000 120.503656 -58.935627
1.380000 122.121984 -58.623054
1.390000 123.750319 -58.325407
1.400000 125.388703 -58.042824
1.410000 127.037180 -57.775446
1.420000 128.695791 -57.523421
1.430000 130.364582 -57.286896
1.440000 132.043597 -57.066026
1.450000 133.732885 -56.860968
1.460000 135.432492 -56.671883
1.470000 137.142468 -56.498938
1.480000 138.862863 -56.342302
1.490000 140.593731 -56.202149
1.500000 142.335124 -56.078658
1.510000 144.087099 -55.972013
1.520000 145.849714 -55.882402
1.530000 147.623028 -55.810017
1.540000 149.407104 -55.755056
1.550000 151.204017 -55.717682
1.560000 153.020139 -55.698074
1.570000 154.856485 -55.696611
1.580000 156.713662 -55.713705
1.590000 158.592316 -55.749786
1.600000 160.493136 -55.805313
1.610000 162.416858 -55.880769
1.620000 164.364268 -55.976666
1.630000 166.336210 -56.093548
1.640000 168.333589 -56.231995
1.650000 170.357378 -56.392623
1.660000 172.408628 -56.576089
1.670000 174.488470 -56.783096
1.680000 176.598131 -57.014399
1.690000 178.738940 -57.270807
1.700000 180.912344 -57.553192
1.710000 183.119919 -57.862495
1.720000 185.363390 -58.199736
1.730000 187.644648 -58.566020
1.740000 189.965773 -58.962554
1.750000 192.330142 -59.390853
1.760000 194.748330 -59.853922
1.770000 197.225270 -60.353969
1.780000 199.765821 -60.893354
1.790000 202.375572 -61.474763
1.800000 205.061011 -62.101285
1.810000 207.829732 -62.776501
1.820000 210.690715 -63.504604
1.830000 213.654708 -64.290563
1.840000 216.734748 -65.140349
1.850000 219.946897 -66.061247
1.860000 223.311319 -67.062317
1.870000 226.853904 -68.155077
1.880000 230.606739 -69.353919
1.890000 234.571363 -70.664250
1.900000 238.765464 -72.097104
1.910000 243.237822 -73.675136
1.920000 248.057295 -75.430033
1.930000 253.326654 -77.408645
1.940000 259.211760 -79.685871
1.950000 266.014056 -82.396515
1.960000 274.045437 -85.690380
1.970000 283.452158 -89.658651
1.980000 295.334192 -94.811708
1.990000 313.531208 -102.920622
2.000000 343.294824 -116.542166
2.010000 383.655069 -135.503734
2.020000 419.856479 -152.955467
2.030000 452.913838 -169.300922
2.040000 483.481668 -184.797727
2.050000 512.011344 -199.621721
2.060000 538.829753 -213.898922
2.070000 564.182644 -227.723066
2.080000 588.260305 -241.165954
2.090000 611.213652 -254.283905
2.100000 633.164766 -267.121966
2.110000 654.214062 -279.716763
2.120000 674.445316 -292.098495
2.130000 693.929284 -304.292356
2.140000 712.726368 -316.319588
2.150000 730.888618 -328.198261
2.160000 748.461263 -339.943868
2.170000 765.483897 -351.569789
2.180000 781.991416 -363.087650
2.190000 798.014760 -374.507607
2.200000 813.581513 -385.838581
2.210000 828.716388 -397.088436
2.220000 843.441631 -408.264139
2.230000 857.777350 -419.371880
2.240000 871.741789 -430.417177
2.250000 885.351564 -441.404963
2.260000 898.621858 -452.339661
2.270000 911.566583 -463.225243
2.280000 924.198532 -474.065286
2.290000 936.529492 -484.863015
2.300000 948.570358 -495.621341
2.310000 960.331219 -506.342900
2.320000 971.821443 -517.030073
2.330000 983.049745 -527.685023
2.340000 994.024246 -538.309706
2.350000 1004.752536 -548.905900
